canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,function_pair_family,antagonist_role_status,pollinator_guild,antagonist_guild,n_source_records,source_ids,source_axis_ids,source_geometry_classes,canonical_geometry,context_shift_detected,cancellation_detected,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,h1_static_eligible,h2_context_priority,source_coding_statuses
Argyroxiphium_000277_display_size,Haleakala_silversword_reproduction_program,Argyroxiphium sandwicense subsp. macrocephalum,floral display size,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,Hylaeus bees,seed predators,1,SCHPRISMA-000277,Argyroxiphium_000277_display_size,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
Blueberry_000076_corolla_access,Blueberry_cultivar_role_switch_program,Vaccinium corymbosum cultivars,corolla access geometry,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,honeybees and bumblebees,nectar-robbing honeybees,1,SCHPRISMA-000076,Blueberry_000076_corolla_access,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,NO,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Caryopteris_000330_corolla_tube,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,corolla tube length,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,bumblebees,bumblebee nectar robbers,1,SCHPRISMA-000330,Caryopteris_000330_corolla_tube,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Caryopteris_000330_nectar_volume,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar volume,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,bumblebees,bumblebee nectar robbers,1,SCHPRISMA-000330,Caryopteris_000330_nectar_volume,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Caryopteris_000330_sugar_concentration,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar sugar concentration,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,bumblebees,bumblebee nectar robbers,1,SCHPRISMA-000330,Caryopteris_000330_sugar_concentration,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Castilleja_000208_calyx_length,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,calyx length,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,hummingbirds,pre-dispersal seed predators,1,SCHPRISMA-000208,Castilleja_000208_calyx_length,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
Castilleja_000208_flower_production,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,flower production,DISPLAY_STATE,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,hummingbirds,pre-dispersal seed predators,1,SCHPRISMA-000208,Castilleja_000208_flower_production,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,NO,NO,AXIS_FROZEN_OUTCOME_PARTIAL
Castilleja_000208_plant_height,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,plant height,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,hummingbirds,pre-dispersal seed predators,1,SCHPRISMA-000208,Castilleja_000208_plant_height,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,NO,NO,AXIS_FROZEN_OUTCOME_PARTIAL
Collaea_000312_flower_number,Collaea_cipoensis_attractiveness_program,Collaea cipoensis,flower number,DISPLAY_STATE,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,hummingbirds,nectar robbers and florivores,2,SCHPRISMA-000312;SCHPRISMA-000353,Collaea_000312_flower_number;Collaea_000353_flower_number_network,CONFLICT;ONE_SIDED_OR_NULL,CONTEXT_VARIABLE,YES,UNRESOLVED,NO,NO,YES,NO,YES,OUTCOME_CODED
Collaea_000312_flower_size,Collaea_cipoensis_attractiveness_program,Collaea cipoensis,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,hummingbirds,nectar robbers and florivores,1,SCHPRISMA-000312,Collaea_000312_flower_size,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
