canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,function_pair_family,shared_coordinate_status,antagonist_role_status,antagonist_guild,antagonist_guild_family,pollinator_guild,interaction_timing,canonical_geometry,source_geometry_classes,context_shift_status,cancellation_status,trait_manipulated_any,consumer_context_manipulated_any,common_fitness_endpoint_any,source_count,source_ids,source_trait_axis_ids,source_verification_states,model_h1_status
Argyroxiphium_000277_display_size,Haleakala_silversword_reproduction_program,Argyroxiphium sandwicense subsp. macrocephalum,floral display size,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators,SEED_PREDATOR,Hylaeus bees,SPATIAL_CONTEXT,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000277,Argyroxiphium_000277_display_size,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Blueberry_000076_corolla_access,Blueberry_cultivar_role_switch_program,Vaccinium corymbosum cultivars,corolla access geometry,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,nectar-robbing honeybees,NECTAR_ROBBER,honeybees and bumblebees,ROLE_SWITCH_ACROSS_FLORAL_GEOMETRY,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000076,Blueberry_000076_corolla_access,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Caryopteris_000330_corolla_tube,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,corolla tube length,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,bumblebee nectar robbers,NECTAR_ROBBER,bumblebees,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000330,Caryopteris_000330_corolla_tube,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Caryopteris_000330_nectar_volume,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar volume,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,bumblebee nectar robbers,NECTAR_ROBBER,bumblebees,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000330,Caryopteris_000330_nectar_volume,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Caryopteris_000330_sugar_concentration,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar sugar concentration,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,bumblebee nectar robbers,NECTAR_ROBBER,bumblebees,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000330,Caryopteris_000330_sugar_concentration,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Castilleja_000208_calyx_length,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,calyx length,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,pre-dispersal seed predators,SEED_PREDATOR,hummingbirds,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000208,Castilleja_000208_calyx_length,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Castilleja_000208_flower_production,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,flower production,DISPLAY_STATE,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,pre-dispersal seed predators,SEED_PREDATOR,hummingbirds,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000208,Castilleja_000208_flower_production,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Castilleja_000208_plant_height,Castilleja_linariaefolia_selection_program,Castilleja linariaefolia,plant height,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,pre-dispersal seed predators,SEED_PREDATOR,hummingbirds,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000208,Castilleja_000208_plant_height,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Collaea_000312_flower_size,Collaea_cipoensis_attractiveness_program,Collaea cipoensis,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,nectar robbers and florivores,MULTIPLE_ANTAGONISTS,hummingbirds,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000312,Collaea_000312_flower_size,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Collaea_cipoensis_flower_number_axis,Collaea_cipoensis_attractiveness_program,Collaea cipoensis,flower number,DISPLAY_STATE,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,Trigona spinipes and other floral antagonists | nectar robbers and florivores,MULTIPLE_ANTAGONIST_GUILDS,hummingbirds,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT;UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,2,SCHPRISMA-000312;SCHPRISMA-000353,Collaea_000312_flower_number;Collaea_000353_flower_number,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
