change_record_id,canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,change_type,evidence_scope,reference_geometry,changed_geometry_or_quantity,local_cases_materialized,source_ids,claim_ceiling,notes
Gentiana_color_change,Gentiana_lutea_color_axis,Gentiana_lutea_color_program,Gentiana lutea,flower color yellow-to-orange,GEOMETRY_CLASS_SWITCH,CROSS_SOURCE_POPULATION_CONTEXT,ALIGNMENT_REINFORCEMENT,ONE_SIDED_OR_NULL_WITH_SPATIAL_POLLINATOR_HETEROGENEITY,1,SCHPRISMA-000054;SCHPRISMA-000710,SOURCE_LEVEL_SWITCH_LOCAL_POPULATION_TRANSITIONS_PENDING,"Focal Torrestio source resolves reinforcement; broader 12-population source resolves spatially variable pollinator selection with no overall seed-predator color effect."
Caryopteris_tube_change,Caryopteris_000330_corolla_tube,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,corolla tube length,GEOMETRY_DISAPPEARANCE,WITHIN_SOURCE_CONSUMER_EXCLUSION,REALIZED_SHORT_TUBE_ADVANTAGE,NO_DETECTED_TUBE_LENGTH_EFFECT_AFTER_ROBBER_EXCLUSION,2,SCHPRISMA-000330,LOCAL_SWITCH_MATERIALIZED,"Natural robbery favors short tubes through lower robbery plus higher legitimate visitation/seed production; exclusion removes the detected tube-length effect."
Pedicularis_exsertion_change,Pedicularis_000376_corolla_exsertion,Pedicularis_rex_geographic_selection_program,Pedicularis rex,corolla exsertion beyond cupular bracts,COMPONENT_WEIGHT_SHIFT,GEOGRAPHIC_POPULATION_MOSAIC,CONFLICT,SEED_PREDATOR_COMPONENT_STRENGTH_VARIES_WHILE_POLLINATOR_COMPONENT_IS_COMPARATIVELY_CONSISTENT,4,SCHPRISMA-000376,LOCAL_ANTAGONIST_PRESSURE_MATERIALIZED_LOCAL_GEOMETRY_PENDING,"Four exact population seed-predation percentages from the main Results text are materialized as local antagonist-pressure cases. Conflict sign is supported overall; population-specific shared-trait geometry remains unresolved."
Primula_scape_change,Primula_farinosa_000523_scape,Primula_farinosa_scape_program,Primula farinosa,scape-height morph,COMPONENT_WEIGHT_SHIFT_WITH_EVOLUTIONARY_RESPONSE,POPULATION_X_EXPERIMENT_X_TIME,CONFLICT,RELATIVE_POLLINATOR_GRAZER_WEIGHT_VARIES_AND_PREDICTS_MORPH_FREQUENCY_CHANGE,0,SCHPRISMA-000523,PROGRAMME_LEVEL_CHANGE_LOCAL_CASES_PENDING,"Spatial selection differences predict morph-frequency change; grazer exclusion shifts morph frequencies over long-term follow-up, but source-specific local rows remain unmaterialized."
Blueberry_access_role_change,Blueberry_000076_corolla_access,Blueberry_cultivar_role_switch_program,Vaccinium corymbosum cultivars,corolla access geometry,CONSUMER_ROLE_BEHAVIOR_SHIFT,CULTIVAR_FLORAL_MORPHOLOGY,LEGITIMATE_APIS_USE_ON_WIDER_DUKE_FLOWERS,FREQUENT_APIS_ROBBING_ON_LONG_NARROW_BLUECROP_FLOWERS,2,SCHPRISMA-000076,LOCAL_ROLE_SWITCH_MATERIALIZED,"Cultivar morphology changes the behavioral role of the same honey-bee visitor guild; this is not relabelled as plant-fitness conflict."
Sesame_corolla_role_change,Sesame_000336_corolla_tube,Sesamum_indicum_visitor_role_program,Sesamum indicum,corolla tube length,CONSUMER_ROLE_BEHAVIOR_SHIFT,COROLLA_ACCESS_MANIPULATION,NORMAL_COROLLA_HIGHER_ROBBING,SHORT_TUBE_TREATMENTS_LOWER_ROBBING_WITH_ACCESS_TRADEOFF,3,SCHPRISMA-000336,LOCAL_ROLE_SHIFT_MATERIALIZED,"Corolla access changes visitor abundance and robbing behavior without a local reproductive endpoint for the corolla treatment."
Sesame_resource_role_change,Sesame_000336_nectar_availability,Sesamum_indicum_visitor_role_program,Sesamum indicum,nectar availability,CONSUMER_ROLE_BEHAVIOR_SHIFT,FLORAL_RESOURCE_MANIPULATION,LOW_RESOURCE_HIGHER_ROBBING,HIGH_RESOURCE_MORE_VISITORS_AND_MUCH_LOWER_ROBBING,2,SCHPRISMA-000336,LOCAL_ROLE_SHIFT_MATERIALIZED,"Higher floral resource state shifts the same visitor community toward predominantly non-robbing use; the study reports no significant reproductive penalty from robbing."
Gymnadenia_phenology_net_shift,Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,flowering phenology,NET_SELECTION_CONTEXT_SHIFT,POLLINATION_X_HERBIVORY_FACTORIAL,CplusH_BETA_-0.0042,FOUR_CELL_BETA_RANGE_-0.16_TO_0.094_WITH_SIGN_DIFFERENCE,4,SCHPRISMA-000030,TREATMENT_CELL_NET_SELECTION_ONLY_MEDIATED_CONTRAST_UNCERTAINTY_PENDING,"Table A2 resolves four treatment-cell beta plus SE values. Net selection on flowering start changes strongly across pollination/herbivory contexts; this is not promoted to four local agent geometries."
Gymnadenia_spur_net_shift,Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,spur length,NET_SELECTION_CONTEXT_SHIFT,POLLINATION_X_HERBIVORY_FACTORIAL,CplusH_BETA_0.18,FOUR_CELL_BETA_RANGE_-0.042_TO_0.18_WITH_SIGN_DIFFERENCE,4,SCHPRISMA-000030,TREATMENT_CELL_NET_SELECTION_ONLY_MEDIATED_CONTRAST_UNCERTAINTY_PENDING,"Table A2 resolves four treatment-cell beta plus SE values. Net selection on spur length changes across pollination/herbivory contexts; this is not promoted to four local agent geometries."
Trifolium_inflorescence_net_shift,Trifolium_000391_inflorescence_production,Trifolium_repens_selection_program,Trifolium repens,inflorescence production,NET_SELECTION_CONTEXT_SHIFT,HERBIVORY_TREATMENT,AMBIENT_BETA_0.91,REDUCED_HERBIVORY_BETA_1.34,2,SCHPRISMA-000391,LOCAL_NET_SELECTION_MATERIALIZED,"Exact standardized gradients show stronger positive selection for increased inflorescence production when invertebrate herbivory is experimentally reduced."
