record_id,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000008,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,corolla_dimensions_and_floral_display,NO_OBSERVATIONAL_TRAIT_VARIATION,YES,YES,YES_REPRODUCTIVE_SELECTION_FITNESS_COMPONENTS,SPATIALLY_VARIABLE_CONFLICTING_AND_DIVERGENT_SELECTION,MULTIPLE_FLORAL_TRAITS_EXPOSED_TO_BOTH_AUDIENCES,among_populations,OBSERVATIONAL_GEOGRAPHIC_SELECTION_MOSAIC,"Direct spatial variation in pollinator assemblage, ungulate damage and trait selection; no randomized A manipulation or demonstrated evolutionary response",eight_reported_populations,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,population,eight_populations,MULTISITE,EIGHT_POPULATION_SELECTION_MOSAIC,POLLINATOR_ASSEMBLAGE_AND_UNGULATE_DAMAGE_VARY_AMONG_POPULATIONS,GEOGRAPHIC_MOSAIC_OF_COEVOLUTION,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Gomez et al. 2009: eight populations show spatial turnover in main pollinator functional groups, ungulate damage and floral-trait selection, including divergent selection in some traits."
SCHPRISMA-000030,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flowering_phenology_floral_display_and_spur_length,NO_A_MANIPULATION_INTERACTORS_MANIPULATED,YES_POLLINATION_TREATMENT_MEDIATED_SELECTION,YES_HERBIVORY_TREATMENT_MEDIATED_SELECTION,YES_FEMALE_FITNESS,CONFLICTING_AND_REINFORCING_ADDITIVE_SELECTION,MULTIPLE_FLORAL_TRAITS_SHARED_EXPOSURE,within_population,FACTORIAL_INTERACTOR_MANIPULATION_SELECTION_ANALYSIS,Pollination and herbivory causally alter selection on natural floral traits; this is not a randomized do(A) response and does not satisfy the strict A-manipulated gate,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,population,single_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Sletvold et al. 2015 factorially manipulated pollination and herbivory and recovered conflicting selection on phenology and reinforcing selection on spur length, but did not manipulate the floral A axis."
SCHPRISMA-000032,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower_size_and_flower_number,NO_DIRECT_A_MANIPULATION_HERBIVORY_EXCLUSION_UPSTREAM,YES_POLLINATOR_CONTRIBUTION_TO_SEED_SET,YES_HERBIVORE_DAMAGE_AND_EXCLUSION,YES_TOTAL_SEED_SET,LANDSCAPE_MEDIATED_INDIRECT_EFFECTS,HERBIVORY_MEDIATED_FLORAL_DISPLAY,landscape_sites_resident_and_phytometer,FIELD_LANDSCAPE_GRADIENT_PLUS_HERBIVORE_EXCLUSION,Landscape simplification alters herbivory-to-display-to-pollination-to-seed-set pathways; local adaptation of resident plants remains an inference and A itself was not randomized,Finger_Lakes_upstate_New_York_USA,USA,NOT_REPORTED,NOT_REPORTED,site,14_sites_landscape_gradient,MULTISITE,AGRICULTURAL_LANDSCAPE_SIMPLIFICATION_GRADIENT,HERBIVORY_AND_POLLINATION_INTERACTION_INTENSITY_ACROSS_LANDSCAPE_GRADIENT,ANTHROPOGENIC_LANDSCAPE_INTERACTION_GRADIENT,RESIDENT_LOCAL_ADAPTATION_HYPOTHESIS_NOT_DIRECTLY_TESTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Schroeder et al. 2024 studied 14 Finger Lakes sites; herbivory varied with landscape complexity and affected floral display, pollinator contribution and seed set. Pollinator community composition itself did not vary significantly with landscape."
SCHPRISMA-000043,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,distylous_morph_ancillary_floral_and_nectar_traits,NO_OBSERVATIONAL_MORPH_COMPARISON,YES_HAWKMOTH_VISITATION_AND_EFFICIENCY,YES_NECTAR_ROBBER_AND_POLLEN_THIEF_VISITATION,YES_NATURAL_SEED_PRODUCTION_BETWEEN_MORPHS,NOT_MEASURED,MORPH_SPECIFIC_FLORAL_AND_REWARD_TRAITS,within_population,OBSERVATIONAL_MORPH_COMPARISON_PLUS_SINGLE_VISIT_EFFICIENCY,"Direct multi-audience trait and visitor differences with seed production; no A manipulation, common cue-effect coefficient or evolutionary maintenance test",NOT_REPORTED,China,NOT_REPORTED,NOT_REPORTED,population,single_study_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Wang et al. 2022 recovered morph-specific nectar/floral traits, hawkmoth pollination, bumblebee nectar robbing, honeybee pollen feeding and open-pollinated seed production; the trait axis was not manipulated."
SCHPRISMA-000054,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower_color_yellow_to_orange,NO_OBSERVATIONAL_COLOR_VARIATION,YES,YES_SEED_PREDATORS,YES_REPRODUCTIVE_OUTPUT_PATH_ANALYSIS,REINFORCING_DIRECTIONAL_SELECTION_FOR_YELLOW,SINGLE_FLOWER_COLOR_AXIS,within_population,OBSERVATIONAL_PATH_ANALYSIS,Pollinators and seed predators both favor yellow flowers in one population; no randomized do(A) and no evidence that opposing selection maintains the color polymorphism,Torrestio_Leon_Spain,Spain,43_03_N,6_04_W,population,single_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,EUROSIBERIAN_PHYTOGEOGRAPHIC_REGION,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"Veiga et al. 2015 used path analysis in a Torrestio population and found pollinator- and seed-predator-mediated selection both favored yellow flowering individuals, rejecting an opposing-selection maintenance explanation there."
SCHPRISMA-000066,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,distylous_floral_morph_and_organ_position,NO_OBSERVATIONAL_MORPH_SYSTEM,YES_SINGLE_VISIT_EFFICIENCY_AND_VISITATION,YES_NECTAR_ROBBING_BUMBLEBEE_BEHAVIOR,YES_FRUIT_AND_SEED_OUTPUT,COMPLEMENTARY_ROLE_DEPENDENT_REPRODUCTIVE_EFFECTS,DISTYLOUS_MORPH_COORDINATE_WITH_DUAL_ROLE_VISITORS,among_populations,MULTISITE_VISITOR_OBSERVATION_PLUS_SINGLE_VISIT_EXPERIMENTS,"Six-population visitor mosaic and morph-specific reproductive consequences are direct; nectar robbers can also pollinate, so antagonist sign is role-dependent and no A manipulation is present",Shangri_La_Yunnan_China,China,NOT_REPORTED,NOT_REPORTED,population,six_populations_two_years,MULTISITE,SIX_POPULATION_POLLINATION_ENVIRONMENT_MOSAIC,NECTAR_ROBBING_BUMBLEBEES_AND_SYRPHID_FLIES_VARY_AMONG_POPULATIONS,HENGDUAN_MOUNTAINS_POLLINATION_MOSAIC,NOT_REPORTED,SOURCE_VERIFIED_FULLTEXT_2026-08-30,Zhu et al. 2015 quantified visitor assemblages and female fecundity across six Primula secundiflora populations; nectar-robbing bumblebees and syrphids had complementary morph-specific pollination effects.
SCHPRISMA-000087,RETAIN_FULLTEXT,,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_FULLTEXT_2026-08-30,"da Cruz et al. 2026 manipulates ant attendance at post-floral pericarpial nectaries and measures pollinators, herbivores, nectar thieves and fruit fitness, but the manipulated coordinate is post-floral ant attendance/PPNs rather than a floral attraction or display A axis."
SCHPRISMA-000523,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,genetically_based_scape_height_morph,NO_A_MANIPULATION_INTERACTORS_MANIPULATED,YES_POLLINATOR_MEDIATED_SELECTION,YES_GRAZER_MEDIATED_SELECTION,YES_MATURE_FRUIT_RELATIVE_FITNESS_AND_MORPH_FREQUENCY_CHANGE,SPATIALLY_VARIABLE_OPPOSING_SELECTION,FLORAL_DISPLAY_HEIGHT_DIMORPHISM,microevolutionary_population_change,LONG_TERM_OBSERVATION_PLUS_REPLICATED_FIELD_MANIPULATION,Direct causal evidence that pollinator-grazer balance drives among-population selection and rapid morph-frequency evolution; existing morph frequency change is not origin of a new private cue or lineage branching,Oland_southeastern_Sweden,Sweden,NOT_REPORTED,NOT_REPORTED,population,69_populations_with_experiments_at_4_and_9_sites,MULTISITE,FOUR_BY_TEN_KM_AMONG_POPULATION_SELECTION_MOSAIC,POLLINATION_AND_GRAZING_INTENSITY_VARY_AMONG_POPULATIONS,SHORT_DISTANCE_ADAPTIVE_DIFFERENTIATION,EIGHT_YEAR_MICROEVOLUTION_NO_LINEAGE_RECONSTRUCTION,PRIOR_EVOLUTIONARY_SOURCE_ADJUDICATION_2026-08-30,"Agren et al. 2013: 69 populations on Oland, replicated pollinator/grazer experiments and eight-year grazer exclusion link spatial selection differences to rapid genetic morph-frequency change."
SCHPRISMA-000593,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,individual_floral_scent_components,YES_COMPONENT_SPECIFIC_TRANSGENIC_SILENCING,NO_SAME_COMPONENT_POLLINATOR_RESPONSE_IN_FOCAL_EXPERIMENT,YES_FLORIVORE_HOST_LOCATION_AND_DAMAGE,NO_COMMON_POLLINATOR_ANTAGONIST_FITNESS_OUTCOME,NOT_MEASURED,COMPONENT_PARTITIONED_FLORAL_BOUQUET,within_individual_component_architecture,TRANSGENIC_COMPONENT_PERTURBATION,Direct component-function differentiation in floral scent supports partial modularity; pollinator preservation on the same manipulated components and evolutionary origin are not identified,field_and_glasshouse_experiments,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,experiment,single_experimental_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NO_EVOLUTIONARY_TRANSITION_RECONSTRUCTION,PRIOR_EVOLUTIONARY_SOURCE_ADJUDICATION_2026-08-30,"Kessler et al. 2013 used five transgenic Petunia lines to show that individual scent compounds differ in florivore host-location versus deterrent function; this is direct component modularity mechanism, not a strict linked pollinator-antagonist experiment."
SCHPRISMA-000710,RETAIN_FULLTEXT,,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flower_color_yellow_to_orange,NO_OBSERVATIONAL_COLOR_VARIATION,YES_VISITATION_AND_COMMUNITY,YES_ESCAPE_FROM_SEED_PREDATION,YES_PLANT_FITNESS_SELECTION_ANALYSIS,SPATIALLY_VARIABLE_SELECTION_ON_FLOWER_COLOR,SINGLE_FLOWER_COLOR_AXIS,phenotypic_population_differentiation,TWELVE_POPULATION_OBSERVATIONAL_SELECTION_ANALYSIS,"Flower color, pollinator communities and selective pressures covary across 12 populations; local adaptation is supported but genetic causality of color differentiation was not demonstrated in this study",northwest_Iberian_Peninsula,Spain,NOT_REPORTED,NOT_REPORTED,population,12_populations,MULTISITE,TWELVE_POPULATION_LONGITUDINAL_FLOWER_COLOR_AND_SELECTION_GRADIENT,POLLINATOR_COMMUNITY_COMPOSITION_VARIES_WITH_FLOWER_COLOR_AMONG_POPULATIONS,LOCAL_SELECTION_AND_PHENOTYPIC_DIFFERENTIATION,LOCAL_ADAPTATION_INFERENCE_WITHOUT_TRAIT_HERITABILITY_TEST,PRIOR_EVOLUTIONARY_SOURCE_ADJUDICATION_2026-08-30,"Sobral et al. 2015/PLOS ONE: across 12 Gentiana lutea populations, flower color affected pollinator visitation, pollinator communities differed with color, and spatial variation in selection explained part of geographic color variation; the paper notes genetic causality of color differences remains to be demonstrated."
