record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000006,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,Framework synthesizes ecosystem services/disservices of weeds; retained for background/source discovery but not counted as an independent primary shared-cue study.
SCHPRISMA-000029,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Dissertation contains multiple primary ecological-interaction chapters, but no single declared floral attraction/display coordinate links pollination and antagonism for SCH admission."
SCHPRISMA-000061,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral morphology and display associated with nectar robbery,NO_COMMUNITY_OBSERVATIONAL_TRAITS,NO_DIRECT_POLLINATION_SERVICE_RESPONSE,YES_NECTAR_ROBBERY_ACROSS_38_PLANT_SPECIES,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,COMMUNITY_ASSOCIATIONAL,ONE_SIDED_FLORAL_TRAIT_ROBBERY_ASSOCIATION,community,DIRECT_COMMUNITY_ANTAGONIST_TRAIT_ASSOCIATION,Nectar robbery is associated with long tubular corollas and abundant flowering across a montane community; pollination consequences are discussed rather than measured on a common fitness outcome,northern_Andes,Colombia,montane_plant_community,38_plant_species,SINGLE_COMMUNITY,NO_REPLICATED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,NEOTROPICAL_MONTANE_COMMUNITY,NO_HISTORICAL_TRANSITION,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Retained as a one-sided antagonist near-pass: direct floral-trait/robbery association, but no same-study pollination response or net reproductive outcome."
SCHPRISMA-000068,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,Plant Cell In Brief/editorial summarizes CYP-mediated attraction-versus-defence work; useful source pointer but not an independent primary study.
SCHPRISMA-000091,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,Plant Physiology review of plant volatile biochemistry is secondary synthesis rather than an independent shared-cue experiment.
SCHPRISMA-000092,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Ficus citrifolia thesis directly documents pollination plus larval seed predation by Pegoscapus tonduzi, but it studies larval development and seed consumption rather than a declared floral attraction cue coordinate."
SCHPRISMA-000093,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora of Britain and Ireland species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000094,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora Cirsium arvense species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000095,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora Gymnadenia conopsea species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000096,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora Orchis anthropophora species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000097,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora Orchis mascula species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000098,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"Biological Flora Salvia pratensis species account is a synthesis/source registry item, not an independent primary study."
SCHPRISMA-000099,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_ABSTRACT_ONLY_FULLTEXT_2026-08-30,"New Phytologist review of plant VOC biosynthesis/function/metabolic engineering is secondary synthesis, not an independent primary study."
