record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000101,10.18174/255281,"Biosynthesis of monoterpene alcohols, derivatives and conjugates in plants : roles in resistance to western flower thrips",2013,https://openalex.org/W2561446594,Q01,dissertation,NO,NO,,YES,NO,NO,YES,YES,YES,flower,,,floral;flower,pollinator,herbivore,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000102,10.1038/s41467-024-49383-x,Biotic interactions promote local adaptation to soil in plants,2024,https://openalex.org/W4399777257,Q09;Q10,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollination,antagonistic;antagonists;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000103,10.1101/2024.02.05.578857,Biotic interactions promote local adaptation to soil in plants,2024,https://openalex.org/W4391641753,Q09;Q10,preprint,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollination,antagonistic;antagonists;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000104,10.1590/1809-4392201703932,Biting the hand that feeds you: wedge-billed hummingbird is a nectar robber of a sicklebill-adapted Andean bellflower,2018,https://openalex.org/W2799473788,Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robber,flower,pollinated;pollination,nectar robber;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000105,10.5194/we-26-83-2026,Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,https://openalex.org/W7164409219,Q13,article,NO,NO,,YES,YES,NO,YES,YES,YES,floral,pollinator,,floral;flower;flowers,floral visitors;flower visitors;pollination;pollinator;pollinators,nectar robbing,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000106,10.1111/j.1365-2745.2010.01729.x,Both seedling banks and specialist seed predators promote the evolution of synchronized and intermittent reproduction (masting) in trees,2010,https://openalex.org/W1515954634,Q12,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,seed predators,flowers,pollination,seed predators,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000107,,Bottom-up effects of eutrophication on insect interaction networks,,https://openalex.org/W7139670510,Q09,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower,flower visitor,herbivore;parasitoid,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000108,10.3389/fpls.2021.767725,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,2022,https://openalex.org/W4206194090,Q08;Q10;Q13,article,NO,NO,,YES,YES,YES,YES,YES,YES,floral,pollinator,florivory,floral;flower,pollination;pollinations;pollinator;pollinators,florivore;florivores;florivory;herbivores;nectar robbers;nectar thieving,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
SCHPRISMA-000109,10.1080/10635150590923209,"Bromeliaceae: Profile of an Adaptive Radiation.—D. H. Benzing (with contributions from B. Bennet, G. Brown, M. Dimmitt, H. Luther, I. Ramirez, R. Terry and W. Till). 2000. Cambridge University Press, Cambridge, U.K. xii + 690 pp. ISBN 0–521–43031–3. $160.00 (hard cover).",2005,https://openalex.org/W2209796660,Q01,book-review,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral;flowers,pollinated,herbivores;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000110,10.1111/nph.70859,Brood pollination mutualism between cryptic‐flower Aspidistra and pollen‐parasite midges,2025,https://openalex.org/W7117453468,Q03;Q12,article,NO,NO,,YES,YES,YES,YES,YES,YES,flower,pollination,parasite,floral;flower;flowers,pollinated;pollination;pollinators,oviposited;parasite;parasites;parasitism;seed predators,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
